Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
146.925751774328,148.37799151687287,146.66712251059016,147.13462829589844,44998500,0.0,0.0,AAPL
146.26926061852384,148.2884813892963,146.05042746504142,146.62734985351562,50547000,0.0,0.0,AAPL
146.0504165651183,146.4482867175158,144.2400724628308,144.53848266601562,55479000,0.0,0.0,AAPL
143.6134545750437,145.93108583150152,143.1359920895942,145.1353302001953,52238100,0.0,0.0,AAPL
147.253988562387,150.30769596517774,146.54776674161596,150.22811889648438,70732300,0.0,0.0,AAPL
152.97347901816434,155.47016243697976,152.64524443729124,153.01327514648438,87558000,0.0,0.0,AAPL
152.88396165866814,153.2122114198132,150.3276143834854,150.7951202392578,56182000,0.0,0.0,AAPL
151.9986858536599,152.65518536875717,151.02389320194862,152.05836486816406,47204800,0.0,0.0,AAPL
152.74469885129204,153.71949147084382,149.43237705560682,149.79046630859375,53833600,0.0,0.0,AAPL
149.4124908183281,150.13861075084444,146.82628902946112,147.71156311035156,68572400,0.0,0.0,AAPL
147.02521614531622,152.32691890026754,146.91579957147016,149.6710968017578,84457100,0.0,0.0,AAPL
150.47680383786826,152.58554320830987,149.30307612874327,151.77984619140625,73695900,0.0,0.0,AAPL
150.38728809452823,152.43634849082213,149.12402666639323,152.177734375,77167900,0.0,0.0,AAPL
151.3521413592778,155.62931442757105,150.8348979427509,155.02255249023438,76161100,0.0,0.0,AAPL
155.251315431779,155.90781489058338,153.46086926130096,154.1770477294922,98944600,0.0,0.0,AAPL
154.24666967132887,156.98206866250376,153.3315410160227,156.5642852783203,73641400,0.0,0.0,AAPL
156.48474098938001,158.55368419347982,155.70886831562402,158.434326171875,73938300,0.0,0.0,AAPL
158.45421605358433,161.27913372272772,156.9721215914886,156.9920196533203,75701800,0.0,0.0,AAPL
157.9867216798227,160.69228152915832,156.84281829728235,158.086181640625,67622100,0.0,0.0,AAPL
158.0165505839538,159.48868843392353,157.01191853393632,159.399169921875,59196500,0.0,0.0,AAPL
159.09082636642628,159.91642143440507,157.03180941777293,157.43963623046875,52390300,0.0,0.0,AAPL
157.13128131197888,157.64852469355822,155.15184147819755,156.81297302246094,45992200,0.0,0.0,AAPL
158.52385152978854,160.19493979325281,158.50396864384618,159.9164276123047,51305700,0.0,0.0,AAPL
160.67237554046594,161.6073871569827,160.4137614418063,161.4979705810547,49501700,0.0,0.0,AAPL
161.57754470287887,164.12395022951105,161.05035989515147,164.02447509765625,68749800,0.0,0.0,AAPL
163.39784400301394,165.4071082701306,163.3481064329263,165.28775024414062,56976200,0.0,0.0,AAPL
165.71546145608107,165.9541774883584,164.23336698533802,164.7506103515625,46278300,0.0,0.0,AAPL
163.86534120069717,164.17369287009453,160.9409482959518,162.89053344726562,51511700,0.0,0.0,AAPL
161.5675955168882,164.08417683308292,161.13988582133632,163.7857666015625,45390100,0.0,0.0,AAPL
160.56297681334848,161.16973876953125,159.23009486952935,161.16973876953125,47716900,0.0,0.0,AAPL
161.48803207823502,161.49797352067327,159.6577897586907,159.94625854492188,47644200,0.0,0.0,AAPL
160.36403345153403,161.19956998427634,158.9316764366756,159.24998474121094,50133100,0.0,0.0,AAPL
160.77185745878992,164.91971572128995,160.56296574037586,164.6809844970703,68445600,0.0,0.0,AAPL
163.71613667723,165.43696249527883,162.9502357755526,164.33285522460938,49386500,0.0,0.0,AAPL
164.21346609228308,164.5118763052592,163.1590964938383,164.35272216796875,41516200,0.0,0.0,AAPL
165.21812044520615,166.52116274782824,164.77049751750582,165.58615112304688,49923000,0.0,0.0,AAPL
164.91971970616623,167.26719034550067,164.66109041256874,166.74000549316406,47720200,0.0,0.0,AAPL
165.2081581873049,166.97870624189716,164.6809733832844,165.7651824951172,52456400,0.0,0.0,AAPL
164.1736993693865,165.56626024688208,163.61667501838826,164.14385986328125,58337300,0.0,0.0,AAPL
164.1239445035273,164.72076491828594,163.01983736066535,164.4521942138672,41949600,0.0,0.0,AAPL
164.31295638532643,165.42700509361606,162.86070130964148,162.90049743652344,48714100,0.0,0.0,AAPL
162.19425303608213,164.40246746710312,161.93563893414958,162.89053344726562,45498800,0.0,0.0,AAPL
164.31294881528854,167.66505140633132,164.31294881528854,167.51585388183594,64902300,0.0,0.0,AAPL
167.59542941249302,168.94820927398084,166.9886675221689,168.7790985107422,55209200,0.0,0.0,AAPL
168.38122353778564,169.54500971834221,167.74462216095705,168.6895751953125,52472900,0.0,0.0,AAPL
169.18693041616754,169.44555970108405,166.65046620211868,167.64515686035156,48425700,0.0,0.0,AAPL
168.6000624384739,170.0125213172155,166.2724899979184,166.56094360351562,65136000,0.0,0.0,AAPL
164.01454398948366,166.15312285913822,163.43762157947924,164.90975952148438,81235400,0.0,0.0,AAPL
170.0722226612502,173.37460328466116,169.8533894788422,172.6484832763672,113316400,0.0,0.0,AAPL
171.56423819663877,172.9269747011503,171.19620751488353,172.57882690429688,55962800,0.0,0.0,AAPL
172.13121978381886,172.61860848787975,170.6889213788365,170.85801696777344,45326900,0.0,0.0,AAPL
172.10137776411975,173.1060098405757,170.98731393302577,172.6385040283203,53724500,0.0,0.0,AAPL
172.92697452515523,173.66303588791664,171.25588635084412,172.82749938964844,49514700,0.0,0.0,AAPL
172.93706250990883,173.37533420587695,170.3273731187135,171.89120483398438,45497800,0.24,0.0,AAPL
172.47888207576645,172.52868844146965,170.79552722687274,171.39317321777344,37266700,0.0,0.0,AAPL
171.3134860724021,172.45895648973138,171.12423100199123,171.39317321777344,42110300,0.0,0.0,AAPL
